ID операции;Дата;ID магазина;Артикул;Количество упаковок, шт.;Тип операции;Цена руб./шт.
113;01.06.2021;M11;33;170;Поступление;50
114;01.06.2021;M11;33;74;Продажа;50
115;01.06.2021;M11;34;180;Поступление;65
116;01.06.2021;M11;34;37;Продажа;65
117;01.06.2021;M11;44;180;Поступление;180
118;01.06.2021;M11;44;56;Продажа;180
119;01.06.2021;M11;45;180;Поступление;170
120;01.06.2021;M11;45;37;Продажа;170
121;01.06.2021;M11;46;180;Поступление;330
122;01.06.2021;M11;46;74;Продажа;330
123;01.06.2021;M11;47;170;Поступление;370
124;01.06.2021;M11;47;23;Продажа;370
125;01.06.2021;M11;48;180;Поступление;180
126;01.06.2021;M11;48;56;Продажа;180
127;01.06.2021;M12;4;180;Поступление;75
128;01.06.2021;M12;4;170;Продажа;75
129;01.06.2021;M12;5;170;Поступление;70
130;01.06.2021;M12;5;120;Продажа;70
131;01.06.2021;M12;6;180;Поступление;50
132;01.06.2021;M12;6;90;Продажа;50
133;01.06.2021;M12;9;180;Поступление;55
134;01.06.2021;M12;9;150;Продажа;55
135;01.06.2021;M12;10;180;Поступление;70
136;01.06.2021;M12;10;90;Продажа;70
137;01.06.2021;M12;13;180;Поступление;60
138;01.06.2021;M12;13;100;Продажа;60
139;01.06.2021;M12;18;170;Поступление;49
140;01.06.2021;M12;18;60;Продажа;49
141;01.06.2021;M12;24;180;Поступление;50
142;01.06.2021;M12;24;120;Продажа;50
143;01.06.2021;M12;25;180;Поступление;52
144;01.06.2021;M12;25;120;Продажа;52
145;01.06.2021;M12;26;170;Поступление;47
146;01.06.2021;M12;26;120;Продажа;47
147;01.06.2021;M12;27;180;Поступление;45
148;01.06.2021;M12;27;120;Продажа;45
149;01.06.2021;M12;28;180;Поступление;38
150;01.06.2021;M12;28;100;Продажа;38
151;01.06.2021;M12;29;180;Поступление;85
152;01.06.2021;M12;29;20;Продажа;85
153;01.06.2021;M12;30;180;Поступление;44
154;01.06.2021;M12;30;80;Продажа;44
155;01.06.2021;M12;33;170;Поступление;50
156;01.06.2021;M12;33;80;Продажа;50
157;01.06.2021;M12;34;180;Поступление;65
158;01.06.2021;M12;34;40;Продажа;65
159;01.06.2021;M12;44;180;Поступление;180
160;01.06.2021;M12;44;60;Продажа;180
161;01.06.2021;M12;45;170;Поступление;170
162;01.06.2021;M12;45;40;Продажа;170
163;01.06.2021;M12;46;180;Поступление;330
164;01.06.2021;M12;46;80;Продажа;330
165;01.06.2021;M12;47;180;Поступление;370
166;01.06.2021;M12;47;24;Продажа;370
167;01.06.2021;M12;48;180;Поступление;180
168;01.06.2021;M12;48;60;Продажа;180
169;01.06.2021;M13;4;180;Поступление;75
170;01.06.2021;M13;4;180;Продажа;75
171;01.06.2021;M13;5;170;Поступление;70
172;01.06.2021;M13;5;110;Продажа;70
173;01.06.2021;M13;6;180;Поступление;50
174;01.06.2021;M13;6;90;Продажа;50
175;01.06.2021;M13;9;180;Поступление;55
176;01.06.2021;M13;9;150;Продажа;55
177;01.06.2021;M13;10;170;Поступление;70
178;01.06.2021;M13;10;90;Продажа;70
179;01.06.2021;M13;13;180;Поступление;60
180;01.06.2021;M13;13;100;Продажа;60
181;01.06.2021;M13;18;180;Поступление;49
182;01.06.2021;M13;18;60;Продажа;49
183;01.06.2021;M13;24;180;Поступление;50
184;01.06.2021;M13;24;120;Продажа;50
185;01.06.2021;M13;25;180;Поступление;52
186;01.06.2021;M13;25;120;Продажа;52
187;01.06.2021;M13;26;170;Поступление;47
188;01.06.2021;M13;26;120;Продажа;47
189;01.06.2021;M13;27;180;Поступление;45
190;01.06.2021;M13;27;120;Продажа;45
191;01.06.2021;M13;28;180;Поступление;38
192;01.06.2021;M13;28;100;Продажа;38
193;01.06.2021;M13;29;170;Поступление;85
194;01.06.2021;M13;29;20;Продажа;85
195;01.06.2021;M13;30;180;Поступление;44
196;01.06.2021;M13;30;80;Продажа;44
197;01.06.2021;M13;33;180;Поступление;50
198;01.06.2021;M13;33;80;Продажа;50
199;01.06.2021;M13;34;180;Поступление;65
200;01.06.2021;M13;34;40;Продажа;65
201;01.06.2021;M13;44;180;Поступление;180
202;01.06.2021;M13;44;60;Продажа;180
203;01.06.2021;M13;45;170;Поступление;170
204;01.06.2021;M13;45;40;Продажа;170
205;01.06.2021;M13;46;180;Поступление;330
206;01.06.2021;M13;46;80;Продажа;330
207;01.06.2021;M13;47;180;Поступление;370
208;01.06.2021;M13;47;24;Продажа;370
209;01.06.2021;M13;48;170;Поступление;180
210;01.06.2021;M13;48;60;Продажа;180
211;01.06.2021;M14;4;180;Поступление;75
212;01.06.2021;M14;4;120;Продажа;75
213;01.06.2021;M14;5;180;Поступление;70
214;01.06.2021;M14;5;49;Продажа;70
215;01.06.2021;M14;6;180;Поступление;50
216;01.06.2021;M14;6;72;Продажа;50
217;01.06.2021;M14;9;180;Поступление;55
218;01.06.2021;M14;9;90;Продажа;55
219;01.06.2021;M14;10;170;Поступление;70
220;01.06.2021;M14;10;90;Продажа;70
221;01.06.2021;M14;13;180;Поступление;60
222;01.06.2021;M14;13;80;Продажа;60
223;01.06.2021;M14;18;180;Поступление;49
224;01.06.2021;M14;18;57;Продажа;49
225;01.06.2021;M14;24;170;Поступление;50
226;01.06.2021;M14;24;108;Продажа;50
227;01.06.2021;M14;25;180;Поступление;52
228;01.06.2021;M14;25;115;Продажа;52
229;01.06.2021;M14;26;180;Поступление;47
230;01.06.2021;M14;26;116;Продажа;47
231;01.06.2021;M14;27;180;Поступление;45
232;01.06.2021;M14;27;105;Продажа;45
233;01.06.2021;M14;28;180;Поступление;38
234;01.06.2021;M14;28;93;Продажа;38
235;01.06.2021;M14;29;170;Поступление;85
236;01.06.2021;M14;29;19;Продажа;85
237;01.06.2021;M14;30;180;Поступление;44
238;01.06.2021;M14;30;74;Продажа;44
239;01.06.2021;M14;33;180;Поступление;50
240;01.06.2021;M14;33;74;Продажа;50
241;01.06.2021;M14;34;170;Поступление;65
242;01.06.2021;M14;34;37;Продажа;65
243;01.06.2021;M14;44;180;Поступление;180
244;01.06.2021;M14;44;56;Продажа;180
245;01.06.2021;M14;45;180;Поступление;170
246;01.06.2021;M14;45;37;Продажа;170
247;01.06.2021;M14;46;180;Поступление;330
248;01.06.2021;M14;46;74;Продажа;330
249;01.06.2021;M14;47;180;Поступление;370
250;01.06.2021;M14;47;23;Продажа;370
251;01.06.2021;M14;48;170;Поступление;180
252;01.06.2021;M14;48;56;Продажа;180
253;01.06.2021;M15;4;180;Поступление;75
254;01.06.2021;M15;4;180;Продажа;75
255;01.06.2021;M15;5;180;Поступление;70
256;01.06.2021;M15;5;180;Продажа;70
257;01.06.2021;M15;6;170;Поступление;50
258;01.06.2021;M15;6;180;Продажа;50
259;01.06.2021;M15;9;180;Поступление;55
260;01.06.2021;M15;9;145;Продажа;55
261;01.06.2021;M15;10;180;Поступление;70
262;01.06.2021;M15;10;150;Продажа;70
263;01.06.2021;M15;13;180;Поступление;60
264;01.06.2021;M15;13;120;Продажа;60
265;01.06.2021;M15;18;180;Поступление;49
266;01.06.2021;M15;18;80;Продажа;49
267;01.06.2021;M15;24;170;Поступление;50
268;01.06.2021;M15;24;159;Продажа;50
269;01.06.2021;M15;25;180;Поступление;52
270;01.06.2021;M15;25;159;Продажа;52
271;01.06.2021;M15;26;180;Поступление;47
272;01.06.2021;M15;26;159;Продажа;47
273;01.06.2021;M15;27;170;Поступление;45
274;01.06.2021;M15;27;159;Продажа;45
275;01.06.2021;M15;28;180;Поступление;38
276;01.06.2021;M15;28;133;Продажа;38
277;01.06.2021;M15;29;180;Поступление;85
278;01.06.2021;M15;29;27;Продажа;85
279;01.06.2021;M15;30;180;Поступление;44
280;01.06.2021;M15;30;106;Продажа;44
281;01.06.2021;M15;33;180;Поступление;50
282;01.06.2021;M15;33;106;Продажа;50
283;01.06.2021;M15;34;170;Поступление;65
284;01.06.2021;M15;34;53;Продажа;65
285;01.06.2021;M15;44;180;Поступление;180
286;01.06.2021;M15;44;80;Продажа;180
287;01.06.2021;M15;45;180;Поступление;170
288;01.06.2021;M15;45;53;Продажа;170
289;01.06.2021;M15;46;170;Поступление;330
290;01.06.2021;M15;46;106;Продажа;330
291;01.06.2021;M15;47;180;Поступление;370
292;01.06.2021;M15;47;32;Продажа;370
293;01.06.2021;M15;48;180;Поступление;180
294;01.06.2021;M15;48;80;Продажа;180
295;01.06.2021;M16;4;180;Поступление;75
296;01.06.2021;M16;4;180;Продажа;75
297;01.06.2021;M16;5;180;Поступление;70
298;01.06.2021;M16;5;120;Продажа;70
299;01.06.2021;M16;6;170;Поступление;50
300;01.06.2021;M16;6;80;Продажа;50
301;01.06.2021;M16;9;180;Поступление;55
302;01.06.2021;M16;9;150;Продажа;55
303;01.06.2021;M16;10;180;Поступление;70
304;01.06.2021;M16;10;90;Продажа;70
305;01.06.2021;M16;13;170;Поступление;60
306;01.06.2021;M16;13;100;Продажа;60
307;01.06.2021;M16;18;180;Поступление;49
308;01.06.2021;M16;18;60;Продажа;49
309;01.06.2021;M16;24;180;Поступление;50
310;01.06.2021;M16;24;120;Продажа;50
311;01.06.2021;M16;25;180;Поступление;52
312;01.06.2021;M16;25;120;Продажа;52
313;01.06.2021;M16;26;180;Поступление;47
314;01.06.2021;M16;26;120;Продажа;47
315;01.06.2021;M16;27;170;Поступление;45
316;01.06.2021;M16;27;120;Продажа;45
317;01.06.2021;M16;28;180;Поступление;38
318;01.06.2021;M16;28;100;Продажа;38
319;01.06.2021;M16;29;180;Поступление;85
320;01.06.2021;M16;29;20;Продажа;85
321;01.06.2021;M16;30;170;Поступление;44
322;01.06.2021;M16;30;80;Продажа;44
323;01.06.2021;M16;33;180;Поступление;50
324;01.06.2021;M16;33;80;Продажа;50
325;01.06.2021;M16;34;180;Поступление;65
326;01.06.2021;M16;34;40;Продажа;65
327;01.06.2021;M16;44;180;Поступление;180
328;01.06.2021;M16;44;60;Продажа;180
329;01.06.2021;M16;45;180;Поступление;170
330;01.06.2021;M16;45;40;Продажа;170
331;01.06.2021;M16;46;170;Поступление;330
332;01.06.2021;M16;46;80;Продажа;330
333;01.06.2021;M16;47;180;Поступление;370
334;01.06.2021;M16;47;24;Продажа;370
335;01.06.2021;M16;48;180;Поступление;180
336;01.06.2021;M16;48;60;Продажа;180
337;01.06.2021;M2;4;170;Поступление;75
338;01.06.2021;M2;4;180;Продажа;75
339;01.06.2021;M2;5;180;Поступление;70
340;01.06.2021;M2;5;120;Продажа;70
341;01.06.2021;M2;6;180;Поступление;50
342;01.06.2021;M2;6;90;Продажа;50
343;01.06.2021;M2;9;180;Поступление;55
344;01.06.2021;M2;9;140;Продажа;55
345;01.06.2021;M2;10;180;Поступление;70
346;01.06.2021;M2;10;90;Продажа;70
347;01.06.2021;M2;13;170;Поступление;60
348;01.06.2021;M2;13;100;Продажа;60
349;01.06.2021;M2;18;180;Поступление;49
350;01.06.2021;M2;18;60;Продажа;49
351;01.06.2021;M2;24;180;Поступление;50
352;01.06.2021;M2;24;120;Продажа;50
353;01.06.2021;M2;25;170;Поступление;52
354;01.06.2021;M2;25;120;Продажа;52
355;01.06.2021;M2;26;180;Поступление;47
356;01.06.2021;M2;26;120;Продажа;47
357;01.06.2021;M2;27;180;Поступление;45
358;01.06.2021;M2;27;120;Продажа;45
359;01.06.2021;M2;28;180;Поступление;38
360;01.06.2021;M2;28;100;Продажа;38
361;01.06.2021;M2;29;180;Поступление;85
362;01.06.2021;M2;29;20;Продажа;85
363;01.06.2021;M2;30;170;Поступление;44
364;01.06.2021;M2;30;80;Продажа;44
365;01.06.2021;M2;33;180;Поступление;50
366;01.06.2021;M2;33;80;Продажа;50
367;01.06.2021;M2;34;180;Поступление;65
368;01.06.2021;M2;34;40;Продажа;65
369;01.06.2021;M2;44;170;Поступление;180
370;01.06.2021;M2;44;60;Продажа;180
371;01.06.2021;M2;45;180;Поступление;170
372;01.06.2021;M2;45;40;Продажа;170
373;01.06.2021;M2;46;180;Поступление;330
374;01.06.2021;M2;46;80;Продажа;330
375;01.06.2021;M2;47;180;Поступление;370
376;01.06.2021;M2;47;24;Продажа;370
377;01.06.2021;M2;48;180;Поступление;180
378;01.06.2021;M2;48;60;Продажа;180
379;01.06.2021;M3;4;170;Поступление;75
380;01.06.2021;M3;4;120;Продажа;75
381;01.06.2021;M3;5;180;Поступление;70
382;01.06.2021;M3;5;60;Продажа;70
383;01.06.2021;M3;6;180;Поступление;50
384;01.06.2021;M3;6;70;Продажа;50
385;01.06.2021;M3;9;170;Поступление;55
386;01.06.2021;M3;9;90;Продажа;55
387;01.06.2021;M3;10;180;Поступление;70
388;01.06.2021;M3;10;90;Продажа;70
389;01.06.2021;M3;13;180;Поступление;60
390;01.06.2021;M3;13;80;Продажа;60
391;01.06.2021;M3;18;180;Поступление;49
392;01.06.2021;M3;18;59;Продажа;49
393;01.06.2021;M3;24;180;Поступление;50
394;01.06.2021;M3;24;111;Продажа;50
395;01.06.2021;M3;25;170;Поступление;52
396;01.06.2021;M3;25;119;Продажа;52
397;01.06.2021;M3;26;180;Поступление;47
398;01.06.2021;M3;26;105;Продажа;47
399;01.06.2021;M3;27;180;Поступление;45
400;01.06.2021;M3;27;114;Продажа;45
401;01.06.2021;M3;28;170;Поступление;38
402;01.06.2021;M3;28;93;Продажа;38
403;01.06.2021;M3;29;180;Поступление;85
404;01.06.2021;M3;29;19;Продажа;85
405;01.06.2021;M3;30;180;Поступление;44
406;01.06.2021;M3;30;74;Продажа;44
407;01.06.2021;M3;33;180;Поступление;50
408;01.06.2021;M3;33;74;Продажа;50
409;01.06.2021;M3;34;180;Поступление;65
410;01.06.2021;M3;34;37;Продажа;65
411;01.06.2021;M3;44;170;Поступление;180
412;01.06.2021;M3;44;56;Продажа;180
413;01.06.2021;M3;45;180;Поступление;170
414;01.06.2021;M3;45;37;Продажа;170
415;01.06.2021;M3;46;180;Поступление;330
416;01.06.2021;M3;46;74;Продажа;330
417;01.06.2021;M3;47;170;Поступление;370
418;01.06.2021;M3;47;23;Продажа;370
419;01.06.2021;M3;48;180;Поступление;180
420;01.06.2021;M3;48;61;Продажа;180
421;01.06.2021;M4;4;180;Поступление;75
422;01.06.2021;M4;4;180;Продажа;75
423;01.06.2021;M4;5;180;Поступление;70
424;01.06.2021;M4;5;120;Продажа;70
425;01.06.2021;M4;6;180;Поступление;50
426;01.06.2021;M4;6;90;Продажа;50
427;01.06.2021;M4;9;170;Поступление;55
428;01.06.2021;M4;9;150;Продажа;55
429;01.06.2021;M4;10;180;Поступление;70
430;01.06.2021;M4;10;80;Продажа;70
431;01.06.2021;M4;13;180;Поступление;60
432;01.06.2021;M4;13;100;Продажа;60
433;01.06.2021;M4;18;170;Поступление;49
434;01.06.2021;M4;18;60;Продажа;49
435;01.06.2021;M4;24;180;Поступление;50
436;01.06.2021;M4;24;120;Продажа;50
437;01.06.2021;M4;25;180;Поступление;52
438;01.06.2021;M4;25;120;Продажа;52
439;01.06.2021;M4;26;180;Поступление;47
440;01.06.2021;M4;26;120;Продажа;47
441;01.06.2021;M4;27;180;Поступление;45
442;01.06.2021;M4;27;120;Продажа;45
443;01.06.2021;M4;28;170;Поступление;38
444;01.06.2021;M4;28;100;Продажа;38
445;01.06.2021;M4;29;180;Поступление;85
446;01.06.2021;M4;29;20;Продажа;85
447;01.06.2021;M4;30;180;Поступление;44
448;01.06.2021;M4;30;80;Продажа;44
449;01.06.2021;M4;33;170;Поступление;50
450;01.06.2021;M4;33;80;Продажа;50
451;01.06.2021;M4;34;180;Поступление;65
452;01.06.2021;M4;34;40;Продажа;65
453;01.06.2021;M4;44;180;Поступление;180
454;01.06.2021;M4;44;60;Продажа;180
455;01.06.2021;M4;45;180;Поступление;170
456;01.06.2021;M4;45;40;Продажа;170
457;01.06.2021;M4;46;180;Поступление;330
458;01.06.2021;M4;46;80;Продажа;330
459;01.06.2021;M4;47;170;Поступление;370
460;01.06.2021;M4;47;24;Продажа;370
461;01.06.2021;M4;48;180;Поступление;180
462;01.06.2021;M4;48;60;Продажа;180
463;01.06.2021;M5;4;180;Поступление;75
464;01.06.2021;M5;4;180;Продажа;75
465;01.06.2021;M5;5;170;Поступление;70
466;01.06.2021;M5;5;180;Продажа;70
467;01.06.2021;M5;6;180;Поступление;50
468;01.06.2021;M5;6;180;Продажа;50
469;01.06.2021;M5;9;180;Поступление;55
470;01.06.2021;M5;9;150;Продажа;55
471;01.06.2021;M5;10;180;Поступление;70
472;01.06.2021;M5;10;138;Продажа;70
473;01.06.2021;M5;13;180;Поступление;60
474;01.06.2021;M5;13;120;Продажа;60
475;01.06.2021;M5;18;170;Поступление;49
476;01.06.2021;M5;18;80;Продажа;49
477;01.06.2021;M5;24;180;Поступление;50
478;01.06.2021;M5;24;159;Продажа;50
479;01.06.2021;M5;25;180;Поступление;52
480;01.06.2021;M5;25;159;Продажа;52
481;01.06.2021;M5;26;170;Поступление;47
482;01.06.2021;M5;26;159;Продажа;47
483;01.06.2021;M5;27;180;Поступление;45
484;01.06.2021;M5;27;159;Продажа;45
485;01.06.2021;M5;28;180;Поступление;38
486;01.06.2021;M5;28;133;Продажа;38
487;01.06.2021;M5;29;180;Поступление;85
488;01.06.2021;M5;29;27;Продажа;85
489;01.06.2021;M5;30;180;Поступление;44
490;01.06.2021;M5;30;106;Продажа;44
491;01.06.2021;M5;33;170;Поступление;50
492;01.06.2021;M5;33;106;Продажа;50
493;01.06.2021;M5;34;180;Поступление;65
494;01.06.2021;M5;34;53;Продажа;65
495;01.06.2021;M5;44;180;Поступление;180
496;01.06.2021;M5;44;80;Продажа;180
497;01.06.2021;M5;45;170;Поступление;170
498;01.06.2021;M5;45;53;Продажа;170
499;01.06.2021;M5;46;180;Поступление;330
500;01.06.2021;M5;46;106;Продажа;330
501;01.06.2021;M5;47;180;Поступление;370
502;01.06.2021;M5;47;32;Продажа;370
503;01.06.2021;M5;48;180;Поступление;180
504;01.06.2021;M5;48;80;Продажа;180
505;01.06.2021;M6;4;180;Поступление;75
506;01.06.2021;M6;4;180;Продажа;75
507;01.06.2021;M6;5;170;Поступление;70
508;01.06.2021;M6;5;180;Продажа;70
509;01.06.2021;M6;6;180;Поступление;50
510;01.06.2021;M6;6;180;Продажа;50
511;01.06.2021;M6;9;180;Поступление;55
512;01.06.2021;M6;9;150;Продажа;55
513;01.06.2021;M6;10;170;Поступление;70
514;01.06.2021;M6;10;150;Продажа;70
515;01.06.2021;M6;13;180;Поступление;60
516;01.06.2021;M6;13;115;Продажа;60
517;01.06.2021;M6;18;180;Поступление;49
518;01.06.2021;M6;18;80;Продажа;49
519;01.06.2021;M6;24;180;Поступление;50
520;01.06.2021;M6;24;159;Продажа;50
521;01.06.2021;M6;25;180;Поступление;52
522;01.06.2021;M6;25;159;Продажа;52
523;01.06.2021;M6;26;170;Поступление;47
524;01.06.2021;M6;26;159;Продажа;47
525;01.06.2021;M6;27;180;Поступление;45
526;01.06.2021;M6;27;159;Продажа;45
527;01.06.2021;M6;28;180;Поступление;38
528;01.06.2021;M6;28;133;Продажа;38
529;01.06.2021;M6;29;170;Поступление;85
530;01.06.2021;M6;29;27;Продажа;85
531;01.06.2021;M6;30;180;Поступление;44
532;01.06.2021;M6;30;106;Продажа;44
533;01.06.2021;M6;33;180;Поступление;50
534;01.06.2021;M6;33;106;Продажа;50
535;01.06.2021;M6;34;180;Поступление;65
536;01.06.2021;M6;34;53;Продажа;65
537;01.06.2021;M6;44;180;Поступление;180
538;01.06.2021;M6;44;80;Продажа;180
539;01.06.2021;M6;45;170;Поступление;170
540;01.06.2021;M6;45;53;Продажа;170
541;01.06.2021;M6;46;180;Поступление;330
542;01.06.2021;M6;46;106;Продажа;330
543;01.06.2021;M6;47;180;Поступление;370
544;01.06.2021;M6;47;32;Продажа;370
545;01.06.2021;M6;48;170;Поступление;180
546;01.06.2021;M6;48;80;Продажа;180
547;01.06.2021;M7;4;180;Поступление;75
548;01.06.2021;M7;4;180;Продажа;75
549;01.06.2021;M7;5;180;Поступление;70
550;01.06.2021;M7;5;120;Продажа;70
551;01.06.2021;M7;6;180;Поступление;50
552;01.06.2021;M7;6;90;Продажа;50
553;01.06.2021;M7;9;180;Поступление;55
554;01.06.2021;M7;9;150;Продажа;55
555;01.06.2021;M7;10;170;Поступление;70
556;01.06.2021;M7;10;90;Продажа;70
557;01.06.2021;M7;13;180;Поступление;60
558;01.06.2021;M7;13;90;Продажа;60
559;01.06.2021;M7;18;180;Поступление;49
560;01.06.2021;M7;18;60;Продажа;49
561;01.06.2021;M7;24;170;Поступление;50
562;01.06.2021;M7;24;120;Продажа;50
563;01.06.2021;M7;25;180;Поступление;52
564;01.06.2021;M7;25;120;Продажа;52
565;01.06.2021;M7;26;180;Поступление;47
566;01.06.2021;M7;26;120;Продажа;47
567;01.06.2021;M7;27;180;Поступление;45
568;01.06.2021;M7;27;120;Продажа;45
569;01.06.2021;M7;28;180;Поступление;38
570;01.06.2021;M7;28;100;Продажа;38
571;01.06.2021;M7;29;170;Поступление;85
572;01.06.2021;M7;29;20;Продажа;85
573;01.06.2021;M7;30;180;Поступление;44
574;01.06.2021;M7;30;80;Продажа;44
575;01.06.2021;M7;33;180;Поступление;50
576;01.06.2021;M7;33;80;Продажа;50
577;01.06.2021;M7;34;170;Поступление;65
578;01.06.2021;M7;34;40;Продажа;65
579;01.06.2021;M7;44;180;Поступление;180
580;01.06.2021;M7;44;60;Продажа;180
581;01.06.2021;M7;45;180;Поступление;170
582;01.06.2021;M7;45;40;Продажа;170
583;01.06.2021;M7;46;180;Поступление;330
584;01.06.2021;M7;46;80;Продажа;330
585;01.06.2021;M7;47;180;Поступление;370
586;01.06.2021;M7;47;24;Продажа;370
587;01.06.2021;M7;48;170;Поступление;180
588;01.06.2021;M7;48;60;Продажа;180
589;01.06.2021;M8;4;180;Поступление;75
590;01.06.2021;M8;4;170;Продажа;75
591;01.06.2021;M8;5;180;Поступление;70
592;01.06.2021;M8;5;120;Продажа;70
593;01.06.2021;M8;6;170;Поступление;50
594;01.06.2021;M8;6;90;Продажа;50
595;01.06.2021;M8;9;180;Поступление;55
596;01.06.2021;M8;9;150;Продажа;55
597;01.06.2021;M8;10;180;Поступление;70
598;01.06.2021;M8;10;90;Продажа;70
599;01.06.2021;M8;13;180;Поступление;60
600;01.06.2021;M8;13;100;Продажа;60
601;01.06.2021;M8;18;180;Поступление;49
602;01.06.2021;M8;18;60;Продажа;49
603;01.06.2021;M8;24;170;Поступление;50
604;01.06.2021;M8;24;120;Продажа;50
